text_translated,liststring
"bad, free claim voucher, send city, lost city, big no, install application, slow pickup service, pick up day, maybe courier, lazy to pick up, complete application, logout, general application, confused, fix the employee system, give stars, give stars, unek, unek",buruk claim voucher gratis kirim kota kota hilang big no instal aplikasi jasa pickup lambat hari ambil ambil maybe kurir malas ambil pickup aplikasi lengkap logout aplikasi awam bingung benah sistem karyawanya kasih bintang kasih bintang unek unek
application helps slow when order pick up reloads many times different private courier service is fast thank you,aplikasi bantu lambat sat order pick up reload berkali2 beda layan kurir swasta cepat terimakasih
"Helping the application is also easy but it's a shame for the district city cod, money depositing an account, selling an updated application, but human mentality",bantu aplikasi juga mudah tapi sayang untuk cod kota kabupaten uang setor rekening jual aplikasi update tapi mental manusia
good to help business cm sometimes professional couriers pay the buyer there like jn shop so you don't have to worry about postage god luck pos Indonesia,bagus bantu usaha cm kadang kurir profesional ongkirnya bayar sipembeli sana sprt jn shop jadi tidak ngeluarin nalangin ongkirnya god luck pos indonesia
"advice on selling postal cod, goods, receive, buy, receipt status, return, guess the money was misappropriated, courier, deposit, return package system, selling goods, piled up, warehouse, until the month of return, lost goods, compensation",saran jual cod pos barang terima beli status resi return duga uang seleweng kurir setor sistem paket return barang jual bertumpuk gudang sampai bulan kembali barang hilang ganti rugi
"Please postal code for the former sub-district, Serang, Sukaragam village, change 1731, problem with sim length via sending online, synchronous data base, Korlantas application, failed, only one step, send, force, take, thank you",tolong kode pos daerah bekas kecamatan serang desa sukaragam ganti 1731 masalh sat panjang sim via kirim online singkrone data base aplikasi korlantas gagal melulu sat step kirim paksa ambil terima kasih
pick up package is slow at 2 o'clock pick up has been followed up news please optimize the service lost private expedition fast handling,paket pick up lambat jam 2 pick up sudah folow up kabar tolong optimal layananya kalah ekspedisi swasta cepat penangananya
"sorry, it's really cool, check postage, no need to bother coming to the office, check your cellphone, the service menu for booking orders is easy, it's complicated to send goods, yuhu, really great",yampun keren banget cek ongkos kirim gaperlu ribet dateng kantor cek hp deh menu layan boking order mudah ribet kirim barang yuhu mantap banget
"nature uses postal service, satisfied, active process, regular account, complicated cod feature, post office, status, send update, item received, receive package of three liquids, cod, private service, red, please review the star service level",alam pakai layan pos puas proses aktif rekening regular fitur cod ribet kantor pos status kirim update sat barang terima terima paket tiga cair cod layan swasta si merah tolong tinjau tingkat layan bintang
"good, it appeared yesterday, check the tariff, the information shows the screen, if the discrenshot updates the screen information, it looks like yesterday, the customer reads it",bagus tampil kemarin cek tarif informasi tampil layar kalau discrenshot update informasi layar kembali tampilanya kemarin customer baca
"it's difficult to reset the address, the description is the address, select save, add the address so that you fill in the save address",sulit ulang alamat keteranganya alamat pilih simpan tambah alamat sehinga isi alamat simpan
order cod pt pos indonesia add good work sometimes error sometimes packages get lost post pay please be good is the server good working level please respond don't castamer disappointed,order cod pt pos indonesia tambah kerja bagus kadang eror terkadang paket tersesat pos bayar tolong baik apa servernya baik kerja tingkat tolong repon jangan castamer kecewa
easy application to track send write no barcode yesterday just click track send goods,aplikasi mudah lacak kirim nulis no barcode kemarin tingal klik lacak kirim barang
"qposin application login, it says network error, there is no wrong signal, application access is smooth, log in web. qposin is really wrong, password is wrong, generate duku token, thank you",aplikasi qposin login tulisanya network eror gada salah sinyal akses aplikasi lancar log in web qposin banget pasword salah generate token duku informasi terimakasih
"Wait for download, login, data, receive package, send address, meet up, maps, type in address, loading, feature, online booking, account, not found, good application",tungu download daftar masuk data terima paket kirim alamat temu maps ketik alamat loading fitur online boking akun not found aplikasi baik
ok min boking order can't open the application if the web psw can please be good the system track package error data2 send sometimes disappears appears suddenly good here bad open good,baik min boking order gabisa buka aplikasi kalau web psw dapat tolong baik sistem lacak paket eror data2 kirim terkadang hilang muncul tiba2 baik2 kesini buruk buka baik
"please uninstall it, what is the intention, easy, difficult, good, innovative, this is good operation, but it's rich, complicated, what is waiting for the post to appear",please uninstal deh apa apa niat mudah sulit bagus inovatif ini operasional bagus tapi kaya rumit pekerjan tungu apa muncul tutup pos
"give a 0 star rating, postal service for goods in Tanjung Pinang, Sunday, send Batam, Thursday, when checking stuck, Tanjung Pinang, slow to send 1 province, use delivery service, bad postal service, professional, disappointed estimate, using postal service, 1",kasih rating bintang 0 layan pos barang tanjung pinang mingu kirim batam kamis pas cek tracking stuck tanjung pinang lambat kirim 1 provinsi pakai layan kirim jasa pos buruk profesional estimasi kecewa mengunakan layan pos 1
easy application for cod money transactions makes tf loss from posaja bri mobile rp 205 0 balance posaja cut money running where is the chat admin pos indonesia the response is very slow waiting 1 2 days to reply money back notification send email up to 1 no email don't want to give up postal transaction,aplikasi mudah transaksi uang cod bikin rugi tf dari posaja bri mobile rp 205 0 saldo posaja potong uang lari mana chat admin pos indonesia responya lambat banget nungu 1 2hari dibales uang kembali pemberitahuan kirim email sampek 1 gada email gakmau ikhlas kapok transaksi pos
"the purpose of the application is easy, it's difficult for users, if you're smart to make an application, you're forced to choose to pay using ovo funds, linkaja pretending to be competitive, the application can't be depended on, the fox is out of date",aplikasi sih tujuanya mudah sulit penguna kalau pinter bikin aplikasi maksa deh pilih bayar pakai dana ovo linkaja sok saing aplikasi gabisa diandelin rubah sudah ketingalan jaman
"good for tracking, sending login menu, recovering account integration, cellphone number, notification package, BUMN class notification, improving integration of pt pos developer, great great",bagus guna tracking kirim menu login pulih akun integrasi nomor hp paket notif pemberitahuan kelas bumn benah mengitegrasikan developer pt pos hebat hebat
"3 motion packages, the information is wrong, the input process failed, it's not very clear, the district complains, cs, the solution",3 paket gerak keteranganya salah input proses gagal tidak jelas banget kabupaten komplain cs solusi
"Seler shope suggests it's better to activate the delivery service because buying has already clicked on order finished, seler's account funds are waiting for 2 3 liquid funds, seler needs money",seler shope saranin lebih baik aktifin jasa kirim karena beli sudah klik pesan selesai dana akun seler nungu 2 3 dana cair seler butuh duit muter
"For postal cod users, registering is super complicated, but the features help to sell online, shoppers, using a marketplace account, without transfer, are easy and safe",penguna cod pos daftar sih super ribet tapi fitur bantu untuk jual online org belanja mengunakan akun marketplace rekening tnpa transfer mudah aman
"apk error but signal is weak, signal pin is sometimes weak",apk eror tapi signal lemah pasu pin sinyal kadang lemah network eror mengunakan jaring indosat jenis beda jaring telkomsel pakai wifi bufering coba beda so corection be your self jangan suka hina keras org
"it's bad to send your city 30 distance from Saturday to Thursday the goods arrive check the application goods for days hold the customer's branch depot complain why the goods come the address of the phone number is active if then cancel the customer, the trade loss ends up trying to transfer the goods, take the house, it's complicated until the money is disbursed quickly",parah kirim kota jarak 30 kamu sabtu sampai kamis barang nyampe cek aplikasi barang berhari2 tahan depo cabang costumer complain kenapa barang datang2 alamat nomer telpon wa aktif kalau trus2an cancel pelang rugi dagang akirnya coba alih belah barang ambil rumah ribet sampai 2 sampai cair duit cepat
"friendly appearance check rates confused entering the name of the sub-district head appears simple, for example, the king of shipping costs lot to the point",ramah tampilanya cek tarif bingung masuk nama camat muncul simpel contoh tuh raja ongkos kirim lot to the point
"really bothering to be honest, using pay for the post, it's really an error, it's hard to sell because it fills in data over and over again, fills in data, 1 pays for a place, how many minutes, how to sell orders or hundreds of days to fill in data, it's great",ngrepotin banget jujur mengunakan bayar tempat pos banget eror susah jual karena banget ulang2 isi data mengisi data 1 bayar tempat brapa menit bagaimana jual order atus ratus hari ngurusin mengisi data greget
bad post quality cod user input the application does not send a delay because it does not input the application is disappointed,kualitas pos buruk cod user input aplikasi tidak kirim delay ber gara tidak input aplikasi kecewa
"complicated cod system like sending a lightning economy, hanging the package, only paying postage, if the consumer pays for a deposit account, why 2 synchronization applications",ribet system cod kaya kirim ekonomi kilat gantung paketanya cuman bayar ongkos kirim pos kalau konsumen bayar deh akun deposite knapa 2 aplikasi sinkronisasi
good apk update cod money received 3 4 days please courier good deposit when sending receive returns,apk bagus update cod uang terima 3 4 hari tolong kurir baik setor pas kirim nerima retur
"generate password, already sent goods, either good or bad, selling is also quite complicated, the system for getting a web login password is really complicated, what's a good system for generating a password",generate pasword terlanjur ngirim barang plis baik rugi jual turut lumayan ribet sistem ambil pasword login web bener2 ribet sistem bagus apa2 generate pasword
"good application helps to be active in the day so that you have to go home, advise on options for the sub-district head at registration complete list of good applications",aplikasi bagus bantu giat hari sehinga harus rumah saran opsi camat sat registrasi lengkap daftar aplikasi bagus
"It's hard to register, the verification code is late, of course, change the operator using XL, what telecommunications lot",daftar susah ampun kode verifikasi terlambat tentu ganti operator pakai xl telekomunikasi apa lot
"please send the version of the data editing application, send the name of the desktop version of the cellphone, there is a flower application fedback menu",tolong kirim versi aplikasi edit data kirim nama hp versi dekstop sedia menu fedback aplikasi kembang
"it's good to use it runs smoothly 3 applications ordered bro because of server interference, how do you get notifications",pakai sih bagus lancar lancar 3 aplikasi order kakak karena ganguan server bagaimana pemberitahuan
"disappointed to send another express, the delivery is different from the subdistrict head, your distance is 5 until the package is messed up",kecewa kirim expres lai beda pengirman camat jarak 5 kamu sampai tu paket kacau kacau
"compare the cod shope lazada application to the postal cod application the steps are practical but the postal cod helps to sell the scope of the province of the Central Java region, cheap rates, fast delivery, easy money, thanks pt pos ind",banding aplikasi cod shope lazada aplikasi cod pos tahapanya praktis tapi cod pos bantu jual lingkup provinsi wilayah jateng tarif murah kirim cepat cair uang mudah trimakasih pt pos ind
"the goods have arrived, the money has been given to the courier, the checking post is bad, the service is bad, the goods are returned, what is the confirmation, the customer took the office, please be good, the system will go together",barang sudah nyampe pelang uang sudah kasih kurir masuk2 pos giro pelayananya buruk barang retur konfirmasi apa2 pelanganya mengambil kantor tolong baik sistem biar sama2 jalan
"many times the process failed, the application was good, the same lot, oh, the cooking was used, the central post changed the road application, the boss cooks the tasks for the sub-district post near the district post, please make it difficult for the sub-district post to take care of the district post application list, briefing, simple teaching work, back and forth 4 you",berkali2 proses gagal aplikasi bagus sama2 lot aduh masak dipake masak pos pusat ganti aplikasi jalan bos masak tugas pos camat dekat pos kabupaten tolong susah2 bikin ribet tugas pos camat urus daftar aplikasi pos kabupaten breafing kerja ajar simple maf bolak 4 kamu
"it's difficult to register with pasu, telephone number, contact number with wa net, stable browsing, streaming, problems taoi when registering verification code, how to help",susah dar registrasi pasu no telpon nomor hubung dg wa jaring stabil browsing streaming kendala taoi sat registrasi kode verifikasi bagaimana tolong jasa
postal delivery of packages in the city notification failed to send the package but the courier did not call the same please pay service level for free,pos kirim paket dlm kota notifikasi gagal kirim paket tapi kurir tidak telpon sama tolong tingkat layan bayar gratis
thank God sat reliable send cod tracking feature send error history track main page complicated pasu receipt number please rate,alhamdulilah sat andal kirim cod fitur lacak kirim riwayat eror lacak halaman utama ribet pasu nomor resi tolong tingkat
"I complained yesterday that I sent the item, the address has been inputted, the postal data is wrong, the receipt is sent at night. The item has been sent, I know, the address input is wrong. Complain when I sent it, I sent it, I sent proof, chat, photo, house, chat, courier, consumer, consumer, home, chat, slow response.",komplain si kemarin kirim barang alamat sudah input data pos salah resi kirim malam pulak barang sudah kirim tahu input alamat salah komplain sat kirim sat kirim sudah kirim ngirim bukti chat foto rumah chat kurir konsumen rumah konsumen chat slow respon
"postal expedition service, rivals use postal service, cod postal service is bad, update tracking packages is slow, long-winded cod funds 1x24 hours 2x24 hours details of costs are expensive, shipping costs are admin fees 5k and cod costs are 5k and cod costs are subject to customer sales, buy information, know, know pospay funds, cut",layan expedisi pos ketingalan rival2 mengunakan layan pos pos cod layananya buruk update lacak paket lambat bertele2 dana cod 1x24 jam 2x24 jam rincian biaya talu mahal biaya ongkos kirim biaya admin 5rb an biaya cod 5rb an biaya cod kena seler pelang beli informasi tahu tahu dana pospay potong
"stupidly serving goods, receive checks, web application receipts, information, receive, receive documents, really gosh",ngaco layan barang terima cek resi aplikasi web informasi terima terima dokumenya banget astaga
first download posaja make an order for city pick up send a letter make an order at 8 am at 16 15 pick up what are you doing 1 star pick up service recommended later change the review if it's good,perdana download posaja bikin order pick up kota kirim surat bikin order jam 8 pagi jam 16 15 pick up sedang apa bikin layan pick up bintang 1 recomended nanti ubah ulasanya kalau deh baik
using postal delivery services Indonesia jakarta banjarmasin notification of goods in surabaya 4 waiting confused goods check postal receipt canceling parcel sending jakarta accept selling include personal number disappointed,mengunakan jasa kirim pos indonesia jakarta banjarmasin pemberitahuan barang surabaya 4 tungu bingung barang cek resi pos mengcansel paket kirim jakarta terima jual cantum nomer pribadi kecewa
"download it because it's a bad review, if it's a message, how about it 2 3 days now the goods are sent from the country, amlok Jakarta on the 8th of the 1st of the excise warehouse until now on the 16th, change the shipping status of the expedition",download kasi ulas jelek kalau mes kasi mes gmngnya si 2 3hari krj barang kirim negri amplok jakarta tanggal 8 tanggal 1 gudang cukai ampe skrng tanggal 16 ubah setatus pegiriman expedisi
"worse, using express day 4, bombing added red dates, tracking private expeditions, shipping roads said gin Chinese New Year received the package, the fast jnt jne sent by post",parah pakai expres hari 4 bom tambah tangal merah jalan tracking expedisi swasta jalan kirim bilang gin imlek terima paket si cepat jnt jne ngirim pakai pos
"send postal goods, I don't know where to send, thank you, address, accept, call the cal center, after talking, it's really dead, please be good, postal work is the consequence of using postal services",kirim barang pos eh barang ngak tahu kirim sampai mana kasih alamat terima nerima ngehubungi cal center selesai bicara sudah matin banget tolong baik kerja pos emang konsekuensi pakai jasa pos
"good post, the service sends packages, packages hold Jakarta, the country, the goods are forbidden, want to be professional, look professional, the postal user is disappointed, the rural post, sends the package, the country opens, the service needs good service, gifts, gifts",pos bagus pelayananya kirim paket paket tahan jakarta negeri barang larang mau profesional nampak profesional rugi penguna pos kecewa pos pedesan kirim paket negeri buka baru layan butuh layan baik hadiah hadiah
good according to the cx jx 12 thousand to 15 thousand posts cm 8 thousand 650 part price of the split expedition fits really well,bagus sesuai si cx jx 12 ribu sampai 15 ribu pos cm 8ribu 650 paruh harga ekspedisi belah cocok sesuai banget
reliable application but why does the application update disappear like search history sometimes track sometimes not missing features nice helpful features,aplikasi andal tapi kenapa update aplikasi hilang kaya riwayat cari kadang lacak kadang enga fitur hilang enak fitur bantu
"great, checking receipts, you know, what can you do, check receipts for sat set like God Job Pos Indonesia",hebat cek resi tahu emang gabisa emang apa cek resi sat set kaya god job pos indonesia
application to uninstall reinstall the login menu register recover stupid account like that when click city courier when click it appears a little bit missing bumn dregs,aplikasi guna uninstal instal ulang menu login register pulih akun bodoh gitu sat klik city courier pas klik muncul dikit hilang ampas bumn
"the cod service is bad, it's complicated, the application error, the web error is also error, web order, login, password, change the invoice, print, hand-write, for a moment, the web page, then I have to log out, login, change the password, the invoice file is gone, reorder",layan codnya parah ribet mbulet eror aplikasi eror webnya juga eror order web login paswordnya ganti invoicenya cetak print tulis tangan sebentar halaman web trus mesti aku logout login ganti pasword parah file invoicenya sudah hilang order ulang
"thank you for 1 star, I hope the service is complicated, cod input data, fill in the invoice sheet, fill in the label, send efficiently, 1 cod package, 3 hands, cod money, checking accounts, back and forth, take postal money, tired, hope the postal cod is advanced, like shope cod, it's complicated, just write down the receipt number, it's done, thank you",kasih bintang 1 moga pelayananya cod ribet input data isi lembar invoice isi label kirim efisien 1 paket cod 3 tangan uang cod giro rekening bolak ambil uang pos lelah harap cod pos maju kayak cod shope pakek ribet tingal tulis nomor resi sudah beres terima kasih
not recommended application error star change either system does not error as online shop send package cod booking system online failed to pick up package so delay I have uber customer receipt,not recomended aplikasi eror bintang ubah baik system tidak eror sbg online shop kirim paket sistem cod boking online gagal pick up paket jadi tunda sya sdah uber konsumen resi
"1-star reviews rarely respond to postal trades, buying expeditions need to move expeditions, hold postal Indonesia, say sending is quiet, the level of service is maximum, don't read the admin",ulas bintang 1 jarang respon pos dagang ekspedisi beli butuh pindah ekspedisi tahan pos indonesia bilang kirim sepi tingkat pelayananya maksimal respon jangan baca adminya it
"booking the cod package is complicated to print, writing the task receipt number, wrong to paste the double tubi tubi receipt, the postage is wrong, 2x work, 2x paid, disappointed but how to use post, thank you for helping online transactions, sorry 1 star, the service is simple",boking paket cod ribet ngeprint nulis no resi tugas salah tempel resi double tubi tubi ongkirnya salah pos kerja 2x bayar 2x kecewa tapi bagaimana pakai pos terima kasih bantu transaksi online maf bintang 1 pelayananya simple
"give 3 stars, easy application, sell application, print booking data, print web login, maximum features, let's level 1 order 24 funds, postal service cod",kasih bintang 3 aplikasi mudah jual aplikasi cetak data boking cetak login web lurang maksimal fitur2nya ayo tingkat 1 order 24 dana cod layan pos
post office handicap application responsive courier read cs help,aplikasi cacat kantor pos responsif kurir baca cs bantu
"really use post until the month of complaint is lost, the city package package is delivered, it's lazy, it's really different, jne 3 different islands, sometimes the cod package is received, eh, hold money, deposit, post, demand deposit, complain, pay day, know, eat blind salary",pakai pos banget sampai bulan komplain hilang paket paket kota tuju antar terima dasar malas beda banget jne 3 beda pulau paket cod kadang terima eh uang tahan setor pos giro komplain hari uang gaji tahu makan gaji buta
"the simple update online booking feature adds the village head, if you send a rural area, a good hamlet village, all you have to do is type in the district city, the district immediately appears, it's just difficult to find a lurah",fitur boking online simple update tambah lurah kalau kirim daerah pedesan desa dusun bagus pokokny tingal ketik kota kabupaten langsung muncul kecamtanya saja ribet mencari lurah
"download the posaja application when registering pasu mobile no. Send verification code via wa sms repeatedly, press re-send verification code appears",donlot aplikasi posaja sat registrasi pasu no hp kirim kode verifikasi via wa sms berkali2 tekan kirim ulang kode verifikasi muncul2
"meet the address, receive the courier, telephone there, show the cellphone number, play, take the node, the empty house, the recipient, the wait is very bad, the service is very disappointed, the price document is very disappointed, the postal courier",temu alamat terima kurir telepon situ tera no hp main ambil simpul rumah kosong si terima tungu parah banget pelayananya dokumen harga kecewa berat kurir pos
"2 posts, online trading friends, serving cod admin, professional Surabaya post, actively helping postal transaction partners, updating solutive application upgrades, now the post doesn't stay in the comfort zone, digital advance adaptation, the post shows that you are BUMN, OK, only useful, anti-bankrupt, free of bankruptcy, free of corruption",2 pos teman dagang online layan cod admin pos surabaya profesional aktif bantu partner transaksi pos update upgrade aplikasi solutif kini pos nga tingal zona nyaman daing adaptasi maju digital sat pos tunjuk kamu bumn oke cuan bermanfat anti bangkrut bebas pailit bebas korupsi
"very disappointed that the post of Indonesia has made an online sim, you know your fate, what if the sim is reversed in Surabaya, you know it's the right address, the protection of the meeting address is poor, private couriers are disbanded",kecewa berat pos indonesia sudah bikin sim online tahu nasib bagaimana kalau sim dibalikin surabaya tahu kirim emang alamat benar proteksi alamat temu payah kurir swasta bubarkan
"the busset sent from 27 January 202 on 3 February the bomb from Ngawi Jakarta also CMA 3 4 days a week it has failed to send the status even though it's raining and the weather is sunny, if the order is done, it's professional.",buset kirim dari tngl 27 januari 202 tangal 3 febuari bom dari ngawi jakarta juga cma 3 4 hri semingu udh gtu gagal kirim status pdhal hujan badai cuaca cerah emang kalau perintah udh beres profesional
"accidentally uninstalling it is difficult, nauzubilah otp code 10 hasn't been sent yet, how is the post forward if the application is broken",sengaja uninstal susah nauzubilah kode otp 10 belum kirim bagaimana pos maju kalau aplikasi karu an
"did you send an internal server check, the error sucks",apa ngirim ngecek internal server eror payah
how do you pick up really suggest if you haven't picked up the apk it's good,bagaimana sih pick up banget saran kalau belum pick up apknya bagus baik
"the application is buggy, check postage, check postage, enter city, country, page error, so check shipping costs",aplikasi nge bug cek ongkos kirim cek ongkos kirim masukkan kota negara eror halaman so cek ongkos kirim
team development posaja one posaja pospay users are comfortable transactions pay posaja service post office posaja depa posaja super what to choose indonesian people sorry good advice pos indonesia,team development posaja satu posaja pospay penguna nyaman transaksi bayar posaja layan kantor pos posaja depa posaja super apa pilih masyarakat indonesia maf saran bagus pos indonesia
complicated application cmn ken send status enter a different pin with split application like jne check status send does not open pin sorry give 1 star complicated application must use excessive application pin,aplikasi ribet cmn ken status kirim masukkan pin beda dengan aplikasi belah seperti jne cek status kirim tidak buka pin maaf kasih bintang 1 aplikasi ribet harus pakai pin aplikasi berlebihan
"search for delivery, city area appears, district area, select it so check shipping costs, like choosing to send to district, how about",cari kirim ko wilayah kota muncul wilayah kabupaten pilih jadi cek ongkos kirim kaya pilih kirim tuju kabupaten bagaimana
good application but added a receipt printing feature via a complicated web application,aplikasi bagus tapi tambah fitur cetak resi via aplikasi ribet web
"good application, easy, tracking rates, forward postage, ready to choose Indonesian postal service, great",aplikasi bagus mudah kece tarif lacak kirim pos maju sedia pilih layan pos indonesia mantap
"responsive application interface, complete menu lag, meet the log out button, sign out until the danger is safe, practice counter tasks, confused counter tasks, booking code processing, request processing, pickup, send, match the postal application data, incorrectly paste the receipt due to customer loss",interface aplikasi responsif lag menu lengkap temu tombol log out sign out hinga bahaya segi aman latih tugas loket tugas loket bingung pemrosesan kode boking pemrosesan permintan pickup kirim cocok data aplikasi pos salah tempel resi akibat rugi pelang
"please serve, send the website application, the level is more complicated, the password is different, the error is different, the error is Sunday, send the money, the delivery fee for food, is the service level plan if you want to advance Indonesian business if you send it?",tolong layan kirim aplikasi websitenya tingkat lagi ribet isi pasword beda beda eror mingu kirim jalan uang ongkos kirim makan doang kah rencana tingkat layan kalau gin maju bisnis indonesia kalau kirim
"bad application, sending goods has gone to the cod system, money comes in, waits 4, uses post, starts using post",aplikasi buruk kirim barang barang sudah tuju sistem cod uang masuk2 nungu 4 itu pakai pos mula pakai pos
"good application, dear, support it with a good system, online booking at the postal counter, the receipt number is issued, as a result, the receipt qob for the postal employee counter is familiar, so the service quality is bad",aplikasi bagus sayang dukung degan system bagus online boking loket pos terbit nomer resi alhasil qob resi loket pegawai pos familiar sehinga buruk kualitas layan
"good application, it's very easy to send packages, check postage, post office lag, because the post office application has advanced, it's really cool",aplikasi bagus bnget mudah kirim paket cek ongkos kirim lag kantor pos ny karena sdah aplikasi pos kantor pos sdah smakin maju keren banget
"the application is very helpful, it's easy to understand, sometimes it likes a level error so that it runs smoothly",aplikasi ngebantu banget usaha mudah erti cm kadang kadang suka eror tingkat biar lancar pakai keren
good problem suggestions 1 pick up task a lot between sending post office 2 applications if the detailed table for sending finances is perfect,bagus kendala saran 1 tugas pick up banyak antar kirim kantor pos 2 aplikasi kalau tabel perinci kirim keuanganya sempurna
"buy a local market place after customs clearance, the status is really Jakarta, the area if the private courier is 1 night, the destination city is pt postal courier, lazy, slow, lazy, lazy, lazy, stupid, so it's good to delete the lazy application",beli market place negeri selesai bea cukai status banget jakarta daerah kalau kurir swasta 1 malam kota tuju pt pos kurir males lambat lemes lunglai mati males bodo biar baik hapus aplikasi males
"recommended application problem, please fix forward, synchronization fails, even though the email is correct, love the screenshot, trust the hand, complain, quickly send the cod package, it's complicated, eat cancel, close post, thanks post",masalah aplikasi recomended tolong benah maju sinkronisasi gagal padahala email benar kasih screnshotnya percaya tangan keluh cepat kirim paket cod ribet makan cancel pos dekat terimakasih pos
"register application, ask to enter pin code before code type pin pin know select forgot code eh userid phone number email incorrect correct please admin",aplikasi daftar suruh masuk pin kode sblmnya pin kode ketik pin pin kenal pilih lupa kode eh userid no telepon email salah benar tolong admin
install the menu using the application close the normal open list of cities complete further,instal menu pakai close aplikasi buka normal daftar kota lengkap lanjut
"please print the invoice label, the order history has been listed, the date option is pdf page, the order list is downloaded, it's really troublesome, this is an application",tolong baik print label invoice history order sudah list pasu tangal opsi pdf page daftar order didownload repot benar ini aplikasi
problem with delivery of goods 3 weeks yesterday's delivery process complained money changed 3 months money entered pgm,kendala barang kirim 3mingu proses pngiriman kemarin komplain uang ubah 3bulan uang masuk pgm
"please provide a login feature, delete mobile data, open the posaja application, login feature, registration menu, recover registration list, forgot password, press recover account, please new application, convenient for users, login feature, type using cellphone number, verification, otp, hand over using wa sms",tolong adakan fitur login hapus data ponsel buka aplikasi posaja fitur login menu registrasi pulih daftar registrasi lupa pasword pencet pulih akun tolong baru aplikasi nyaman penguna fitur login ketik pakai no hp verifikasi otpnya serah pakai wa sms
please good application bug error release service application open help bug error,tolong aplikasi baik bug eror rilis layan aplikaso buka bantu bug eror
"send the package 2 weeks to the destination, return the goods returned, the condition of my package is in a messy position, only in isolation, shipping costs are lost, trustworthiness",kirim paket 2 minguan sampai tuju retur alas barang retur kondisi paket saya posisi beranta cuman disolasi rugi ongkos kirim rugi seler amanah
"for the application, this error is an error, sending the package slowly, the tracking failed 2 weeks, the cs still doesn't work, it's different, private service 2, try to forgive me, I'm using postal cod.",untuk aplikasi sih eror eror ini kirim lambat paket peduli tracking gagal 2 mingu csnya tetep emang bumn beda layan swasta 2 coba ampun deh pakai cod pos deh rugi putar uang jual ongkos kirim bayar layan maksimal
"boking open application data entry, why is it good to download pgm using manual when told to change the counter task so that it is accurate because the cod money pays the intention, the applicationx",boking buka entri data aplikasi ko baik download pgm pakai manual pas suruh ganti tugas loket biar akurat karena uang cod bayar niatx sih aplikasix
"error data input error sometimes open the application, both the drawbacks",eror input data eror kadang buka aplikasi baik kekuranganya
